Post URL,Section Title,Framework,Hook Score,Why This Works
"https://creatorhooks.com/5-minutes-only-read-this-before-you-publish-your-next-video/","New Year New Tools","(Niche) in (Current or upcoming year) — The (Entities) Every Pro Is Switching To","+404","Timeliness – Dropping in the current year does a great job of letting the audience know this is relevant right now, and this is an especially powerful strategy at the turn of the year. Desire – This creator’s audience loves tools. Curiosity – This opens a loop and makes you want to know which tools they’re talking about."
"https://creatorhooks.com/5-minutes-only-read-this-before-you-publish-your-next-video/","Boundaries or Bust","5 (Entities) (Specific Audience) MUST (Activity) Early or (Problem will occur)","+441","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Fear – The fear of being walked all over does a great job of getting people to click. Urgency – The fact that these boundaries need to be set early brings some urgency to watch this video asap."
"https://creatorhooks.com/5-minutes-only-read-this-before-you-publish-your-next-video/","Faceless Forays","The ONLY (Entities) You Should Try in (Upcoming or current year)","+634","Scarcity – The word “ONLY” adds a constraint and scarcity and makes these niches way more interesting and valuable. Timeliness – Dropping “in 2026” in the beginning of the year is a great way to get people to click because “2026” is on everybody’s mind right now. It also lets you know that this video is relevant right now. Desire – This creator’s audience loves learning about new faceless niches."
"https://creatorhooks.com/5-minutes-only-read-this-before-you-publish-your-next-video/","Morning Moves","7 Minutes Only… Do This Every (Specific moment)","+1792","Time Frame – The time frame of “7 minutes” makes this feel more interesting and tangible. Desire – The time frame of “7 minutes only” plus the big promise in the thumbnail text team up to give you the feeling of getting a lot for a little in this video. Moment – Telling people to do something at a specific time makes it more tangible and interesting."
"https://creatorhooks.com/pick-1-of-these-5-video-ideas-your-channel-wont-be-the-same/","Silent Winners","3 Ways (Specific Audience) Are Quietly Beating (Problem) Right Now","+499","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – This creator’s audience would love to beat property taxes. Curiosity – “Quietly” makes you feel like you’re getting in on a secret. Specific Audience – By calling out “Homeowners” he makes it clear who this video is for."
"https://creatorhooks.com/pick-1-of-these-5-video-ideas-your-channel-wont-be-the-same/","Dollar Delights","I Built A (Cool thing) Using Only (Constraint)!","+571","Constraint – Building a gaming setup is cool, but when you add a constraint, like “Using Only The $1 Store”, it makes it way more interesting."
"https://creatorhooks.com/pick-1-of-these-5-video-ideas-your-channel-wont-be-the-same/","Who’s laughing now?","Everyone Laughed At His “Useless” (Creation or possession) — Until (Problem)","+2756","Fear & Status – Social status is one of the most important things for us, and people laughing at us is the last thing we want. Curiosity – This builds curiosity in two ways: It starts a story, but doesn’t finish it, so you have to click to see what happened.



There’s a hint of contrast because apparently his “Useless” tunnel wasn’t so useless after all. Editor’s note: Many people want to know what’s working *now* on YouTube… But this title was inspired by an ad that was published in 1926, literally 100 years ago: “They Laughed When I Sat Down At The Piano – But When I Started to Play!”"
"https://creatorhooks.com/pick-1-of-these-5-video-ideas-your-channel-wont-be-the-same/","Silver Spoon Rules","How Old Money (Activity).. 9 Rules You Won’t see on Social Media","+17","Authority – “Old Money” brings some authority here because they’re successful. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Secret – “You Won’t see on Social Media” makes you feel like these rules are a little bit secretive."
"https://creatorhooks.com/everyone-sucks-at-youtube-titles-until-they-learn-this/","AI Acceleration","You’re Not Behind (Yet): How to Learn [Subject] in [Short time frame]","+419","Fear – This addresses a big fear the audience might have that they’re behind. Desire – This creator’s audience would love to learn AI. Time Frame – The time frame of “17 Minutes” does two things: It adds to the desire because 17 minutes isn’t that long to learn something exciting and valuable.



It makes the video more tangible and specific (and, therefore, more interesting)."
"https://creatorhooks.com/everyone-sucks-at-youtube-titles-until-they-learn-this/","Traffic Tricks","5 Tricks That End [Problem] Fast ([Authority figure] Explains)","+521","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Desire – Most people would love to end a traffic stop fast. Speed – People love speed and dropping in “Fast” satisfies that desire. Authority – Dropping in “(Lawyer Explains)” adds some trust and credibility to this video."
"https://creatorhooks.com/everyone-sucks-at-youtube-titles-until-they-learn-this/","Just a Simple Sentence","(Problem)? Use This One Sentence to (Solve problem)","+6631","Pain Point – This starts with a problem or pain point to grab the right audience’s attention and interest. Desire – People who are blindsided likely want to take their power back. Curiosity – This opens a loop and makes you want to know what this one sentence is. Scarcity – “This One Sentence” brings more focus on the sentence and makes it more valuable and interesting."
"https://creatorhooks.com/everyone-sucks-at-youtube-titles-until-they-learn-this/","Secret Screws","Many people don’t know the secret of (Specific entity).","+7107","Curiosity – This builds curiosity by talking about a secret."
"https://creatorhooks.com/it-sucks-but-itll-blow-up-your-youtube-channel/","Worth It","it sucks, but it’ll (Achieve goal)…","+434","Negativity – Starting this off with “it sucks” adds some tension and fear and grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop and makes you wonder what method he’s talking about.



The contrast between “it sucks” and “it’ll skyrocket your energy levels” also builds curiosity. Desire – Most people would love to skyrocket their energy levels. Believability – By admitting that “it sucks”, it makes the bold claim of skyrocketing your energy levels more believable."
"https://creatorhooks.com/it-sucks-but-itll-blow-up-your-youtube-channel/","You can do it!","You’re gonna (Achieve goal) in (Upcoming year), here’s how","+491","Desire – This creator’s audience would love to be a full-time creator. Timeliness – This was published in December of 2025, while 2026 is on everybody’s mind."
"https://creatorhooks.com/it-sucks-but-itll-blow-up-your-youtube-channel/","The Selling Scene","This One (Entity) Will Change How You (Activity) Forever","+1695","Curiosity – This title builds curiosity in two ways: It opens a loop and makes you want to know what this scene is.



It also opens a loop with “Change How You Sell Forever” because you don’t know what or how your selling will change. Scarcity – By focusing on just a single scene, it increases your interest in the scene. Desire – This creator’s audience would love to get better at selling."
"https://creatorhooks.com/it-sucks-but-itll-blow-up-your-youtube-channel/","The Pixel Paradox","(Common, seemingly important thing) DON’T Matter… But THIS Does","+1958","Curiosity – This title builds curiosity in two ways: It’s counterintuitive that megapixels don’t matter.



It opens a loop and makes you wonder what “THIS” is."
"https://creatorhooks.com/5-youtube-trends-that-will-define-2026/","Money Trees","The Secret To [Achieving a big goal] [With constraint] ([Biggest excuse eliminated])","+550","Curiosity – This title builds curiosity in two ways: Dropping the word “Secret” is a simple way to build curiosity about your topic.



There’s contrast between “$100,000” (a big gain) and “Small farm”. Desire – This creator’s audience would love to grow $100,000 on their farm. Refute objection – This title refutes two objections: “Small Farm” refutes the objection that you need a big farm to grow $100,000.



Many people might think a tractor is too big and expensive, so “(No Tractor Needed!)” resolves that."
"https://creatorhooks.com/5-youtube-trends-that-will-define-2026/","Thanos Pricing","I (Achieved big goal)…But It Cost Me Everything","+1399","Credibility – By starting this title with “I Won 3 NCAA Titles”, she shows you her experience and why she’s worth listening to. It also serves up this next reason that makes this title so good… Negativity – People love dramatic stories like this. Curiosity – This title builds curiosity in two ways: There’s contrast between “I Won 3 NCAA Titles” (yay) and “Cost Me Everything” (uh oh).



It opens a loop and makes you wonder what happened and what it cost her."
"https://creatorhooks.com/5-youtube-trends-that-will-define-2026/","The 1%","What The 1% Teach Their Kids About (Niche)","+1478","Authority – The fact that this video is about the 1% makes it feel more credible and desirable. Desire – People want to know what the 1% know about money so they can make more money, too. Curiosity – This opens a loop and makes you wonder what they teach their kids about money. Believability – The fact this is what the 1% teach their kids about money, and not what they’re trying to teach you (and potentially influence you for their gain), makes it more believable. You know they have their kids’ best interests at heart, so it feels more possible that you’ll actually get helpful information."
"https://creatorhooks.com/5-youtube-trends-that-will-define-2026/","Discipline Decree","The [Authoritative culture] Rule That [Achieves goal] (Not [Shallow result])","+4048","Authority – Since many people view Japanese people as self-disciplined, the fact that this the “Japanese Rule” builds more trust and interest. Desire – Many parents want their kids to be more self-disciplined. Refute Objection – Many people don’t want their kids to have blind obedience, so this title refutes that objection"
"https://creatorhooks.com/how-to-have-the-greatest-youtube-comeback-of-your-life/","Wait, what?","How (Achieving goal) ruined my (Possession)","+733","Curiosity – It’s counterintuitive that a good thing (learning 7+ languages) would have a bad result (ruining her English). Negativity – Nobody wants to ruin their native language skills, so this grabs attention."
"https://creatorhooks.com/how-to-have-the-greatest-youtube-comeback-of-your-life/","Benchmarks","How Many (People) REALLY (Have reached a milestone)?","+1006","Curiosity – This title builds curiosity by asking a question. Status – This is all about status, a benchmark, and how the audience compares to everybody else."
"https://creatorhooks.com/how-to-have-the-greatest-youtube-comeback-of-your-life/","Always Rarely","9 Things You Rarely Do for [Possession] (But Should Every Day)","+3160","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Curiosity – There’s contrast between “rarely” and “every day”, which builds curiosity. Every Day – Telling people about things they should do “every day” makes your video feel more specific and interesting."
"https://creatorhooks.com/how-to-have-the-greatest-youtube-comeback-of-your-life/","The Towel Test","How Often Should You (Activity)? I (Entity) Tested Mine!","+11375","Curiosity – This title builds curiosity by asking a question. Experience – This title builds trust because it isn’t just her opinion, she actually has proof and experience testing her own towels. Negativity – There’s an undertone of fear that your towels are actually grosser than you think, which makes it more important to watch this video."
"https://creatorhooks.com/the-most-underrated-youtube-strategy-of-all-time/","Scientific Screw Ups","13 Things [Specific audience] Get WRONG (backed by science)","+844","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Negativity – Nobody wants to make a mistake or get things wrong, so this title does a great job of grabbing attention and interest. Specific Audience – Calling out a specific audience (“Older Guitar Students” in this case) makes them feel like you made the video specifically for them, so they’re more likely to click. Authority – “(backed by science)” brings some credibility to this title."
"https://creatorhooks.com/the-most-underrated-youtube-strategy-of-all-time/","The Future Is Here","This New (Entity) from (Place) Will Change (Entity) Forever","+1236","New – People love new things. Curiosity – “Change Forever” builds curiosity because it tells you that things have changed, but not how they’ve changed. Epic – “Change Forever” also makes this title feel epic and interesting. “China” also brings a lot to this title. Some people have specific feelings about China, but it also just makes the title a little bit more specific, which makes it more interesting."
"https://creatorhooks.com/the-most-underrated-youtube-strategy-of-all-time/","Morning Meditations","5 Powerful (Entities) You Need to (Activity) Before the Start of A New Day","+2219","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Moment – Talking about things that take place at a specific time is a great way to make a video more tangible and interesting."
"https://creatorhooks.com/the-most-underrated-youtube-strategy-of-all-time/","Secret Solutions","(Authority figures) Don’t Want You to Know THIS Secret – (Achieve a goal) in (Short time frame)","+7760","Authority – Saying that tailors, the authority figures in this niche, don’t want you to know this secret makes it feel more exciting and conspirational. Curiosity – Talking about secrets is a great, simple way to build curiosity. Desire – This creator’s audience would love to fix any zipper in 2 minutes. Time Frame – The time frame of “in 2 Minutes” increases the desire and also makes this video feel more tangible and interesting."
"https://creatorhooks.com/become-a-genius-at-youtube-psychology-in-5-minutes/","This is it.","We’ve Lost Control of (Polarizing topic)","+379","Negativity – People love controversial and scary things like this. Curiosity – This does a great job of starting a story, but not finishing it, so you have to click and see what’s going on. Confirms suspicions – AI’s impressive improvements have often been the main conversation around AI, but there are murmurs of AI getting out of control, and this title brings that fear to the spotlight."
"https://creatorhooks.com/become-a-genius-at-youtube-psychology-in-5-minutes/","The good kind of addiction","Become addicted to (Activity or goal) in 1 day","+602","Controversy – Instead of just saying, “how to become disciplined,” this video uses a more controversial phrase: “Become addicted to discipline.” This grabs attention and makes this video feel a little spicy. Desire – This creator’s audience wants to be more disciplined. Time Frame – The time frame of “in 1 day” does two things: It makes it more desirable because it’s such a short time frame and people like speed.



It makes this video feel more tangible and, therefore, more interesting."
"https://creatorhooks.com/become-a-genius-at-youtube-psychology-in-5-minutes/","Secret Strengths","Every Hidden Advantage of (Attribute) Explained In Detail","+2011","Curiosity – “Hidden Advantage” makes you feel like you’re getting in on a secret. Desire – This is all about the viewer and makes them feel special for being the way they are."
"https://creatorhooks.com/become-a-genius-at-youtube-psychology-in-5-minutes/","Unlikely Origin Story","How [Subject] Got Its [Attribute] (It’s Not What You Think)","+2138","Curiosity – “(It’s Not What You Think)” makes you feel like you’re getting in on an unknown secret."
"https://creatorhooks.com/93-of-youtubers-write-titles-the-wrong-way-heres-how-to-fix-it/","Curious Conundrum","This (Entity) Easily Makes (Goal)… Why Does Nobody Want to Do It?","+675","Curiosity – This asks a counterintuitive question, which builds tons of curiosity. Why wouldn’t people want to do a job that easily makes millionaires? Desire – Most people would love to easily become a millionaire."
"https://creatorhooks.com/93-of-youtubers-write-titles-the-wrong-way-heres-how-to-fix-it/","Six String Secrets","What No One Tells You About The Worlds Largest (Entity)","+735","FOMO & Secret – “What No One Tells You” gives you a bit of FOMO and makes you feel like you’re getting in on a secret. Epic & Extreme – Extreme things, like “World’s Largest Guitar Factory”, make videos unique and give them an epic feeling."
"https://creatorhooks.com/93-of-youtubers-write-titles-the-wrong-way-heres-how-to-fix-it/","Moment in Time","The Price of (Goal): What (Entity) Looks Like at (Specific moment in time)","+1205","Moment – Talking about specific moments (like 8 AM, in this case) does a great job of building curiosity and making a video feel tangible and more interesting. Negativity – “Price of Progress” and the thumbnail let you know this video is about a struggle, and people love a dramatic struggle."
"https://creatorhooks.com/93-of-youtubers-write-titles-the-wrong-way-heres-how-to-fix-it/","Grocery Gaffes","93% of People [Activity] The Wrong Way (Here’s How To Fix It!)","+1402","Negativity – Nobody wants to do something the wrong way, so this grabs the audience’s attention. Curiosity – This builds curiosity in two ways: It opens a loop because it doesn’t give you any specific information about the wrong way to grocery shop, or how to fix it, but it makes you want to know both of those things.



It’s counterintuitive because since when is there a wrong way to do something as simple as grocery shopping?"
"https://creatorhooks.com/never-say-these-4-words-in-your-youtube-titles/","Balloon Boy","Weirdest (Entities) Ever Made…","+550","Curiosity – Using words like “weirdest” (or strangest, oddest, etc) is probably the easiest way to build curiosity. Epic & Extreme- “Weirdest” and “Ever Made” gives this video an extreme and epic feel."
"https://creatorhooks.com/never-say-these-4-words-in-your-youtube-titles/","Forbidden 4","Never [Action] These 4 Things at [Place] (Protect Your [Possession])","+718","Warning – Warnings like this do a great job of grabbing people’s attention. List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity."
"https://creatorhooks.com/never-say-these-4-words-in-your-youtube-titles/","Funny Fixations","9 Strange Habits You Pick Up (in Entity)","+1693","List – Lists make videos feel more tangible (you know exactly what the video will be about), and they add some curiosity. Strange – Using words like “strange” (or weird, odd, etc) is probably the easiest way to build curiosity."
"https://creatorhooks.com/never-say-these-4-words-in-your-youtube-titles/","Winter Wisdom","What (Authority Figures) Understood About (Problem) That We Forgot","+20883","Authority – “Mountain Men” are the pros when it comes to surviving the cold. Curiosity – “That We Forgot” makes you feel like you’re getting in on a long-forgotten secret."